[0604/235307.057:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0604/235307.057:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0604/235307.057:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0604/235307.057:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0604/235307.057:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0604/235307.058:INFO:CONSOLE(0)] "Document-Policy HTTP header: Unrecognized document policy feature name include-js-call-stacks-in-crash-reports.", source: https://web.whatsapp.com/ (0)
[0604/235309.167:INFO:CONSOLE(162)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v4/yT/r/CsD783r51tS.js (162)
[0604/235324.301:INFO:CONSOLE(6)] "Uncaught (in promise) Error: secretKey is null or undefined", source:  (6)
[0604/235334.350:INFO:CONSOLE(77)] "ErrorUtils caught an error:

Converting to a string will drop content data. Hash="undefined" Translation="{user_name} added {names}" Content="{"key":null,"ref":null,"props":{"contact":{"id":"919834634461@c.us","type":"in","textStatusLastUpdateTime":-1,"syncToAddressbook":false},"showNotifyName":true,"elevatedPushNamesEnabled":true,"onClick":null}}" (type=object,Object)

Subsequent non-fatal errors won't be logged; see https://fburl.com/debugjs. [object Object]", source: https://static.whatsapp.net/rsrc.php/v4/y9/r/FAehVaQOpO8.js (77)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0604/235408.483:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0604/235408.484:INFO:CONSOLE(0)] "Document-Policy HTTP header: Unrecognized document policy feature name include-js-call-stacks-in-crash-reports.", source: https://web.whatsapp.com/ (0)
[0604/235408.510:ERROR:entry_impl.cc(1072)] No file for 80000004
[0604/235408.787:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235408.787:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235408.834:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235408.835:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235408.877:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235408.877:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235408.879:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235408.880:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235408.893:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235408.893:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.009:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.009:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.020:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.020:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.098:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.098:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.102:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.102:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.232:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.232:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.239:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.239:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.240:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.240:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.261:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.261:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.267:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.267:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.277:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.278:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.285:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.285:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.305:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.305:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.331:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.331:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.331:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.332:ERROR:entry_impl.cc(995)] Failed to save user data
[0604/235409.333:ERROR:backend_impl.cc(754)] Unable to create file: -4
[0604/235409.333:ERROR:entry_impl.cc(995)] Failed to save user data
